ButterflyName124,红带黑粉蝶,,,,,,,,,,,,,,,
ButterflyName125,青带透翅蛱蝶,,,,,,,,,,,,,,,
ButterflyName126,窄斑翠凤蝶,,,,,,,,,,,,,,,
ButterflyName127,红带袖蝶,,,,,,,,,,,,,,,
ButterflyName128,云豹蛱蝶,,,,,,,,,,,,,,,
ButterflyName129,瓦曙凤蝶,,,,,,,,,,,,,,,
ButterflyName130,幻紫斑蛱蝶,,,,,,,,,,,,,,,
ButterflyName201,双尾褐凤蝶,,,,,,,,,,,,,,,
ButterflyName202,大燕尾蝶,,,,,,,,,,,,,,,
ButterflyName203,玫瑰青凤蝶,,,,,,,,,,,,,,,
ButterflyName204,褐钩凤蝶,,,,,,,,,,,,,,,
ButterflyName205,美凤蝶,,,,,,,,,,,,,,,
ButterflyName206,苔美凤蝶,,,,,,,,,,,,,,,
ButterflyName207,尤利西斯蝶,,,,,,,,,,,,,,,
ButterflyName208,黄凤蝶,,,,,,,,,,,,,,,
ButterflyName209,大黄带凤蝶,,,,,,,,,,,,,,,
ButterflyName210,钩凤蝶,,,,,,,,,,,,,,,
ButterflyName211,蓝裙美凤蝶,,,,,,,,,,,,,,,
ButterflyName212,红斑美凤蝶,,,,,,,,,,,,,,,
ButterflyName213,巴黎翠凤蝶,,,,,,,,,,,,,,,
ButterflyName214,交脉环蝶,,,,,,,,,,,,,,,
ButterflyName215,猫蛱蝶,,,,,,,,,,,,,,,
ButterflyName216,里士满鸟翼凤蝶,,,,,,,,,,,,,,,
ButterflyName217,黑脉蛱蝶,,,,,,,,,,,,,,,
ButterflyName218,红尖粉翅蝶,,,,,,,,,,,,,,,
ButterflyName219,努里斯裳凤蝶,,,,,,,,,,,,,,,
ButterflyName220,大紫蛱蝶,,,,,,,,,,,,,,,
ButterflyName221,珍珠贝蛱蝶,,,,,,,,,,,,,,,
ButterflyName222,翠叶红颈凤蝶,,,,,,,,,,,,,,,
ButterflyName223,悌鸟翼凤蝶,,,,,,,,,,,,,,,
ButterflyName224,小阔条纹蝶,,,,,,,,,,,,,,,
ButterflyName225,蓝紫锦斑蝶,,,,,,,,,,,,,,,
ButterflyName226,相思带蛱蝶,,,,,,,,,,,,,,,
ButterflyName227,巴马加绿鸟翼凤蝶,,,,,,,,,,,,,,,
ButterflyName228,黄襟蛱蝶,,,,,,,,,,,,,,,
ButterflyName229,布鲁岛裳凤蝶,,,,,,,,,,,,,,,
ButterflyName230,绿带燕尾蝶,,,,,,,,,,,,,,,
ButterflyName301,非洲青凤蝶,,,,,,,,,,,,,,,
ButterflyName302,亚历山大鸟翼凤蝶,,,,,,,,,,,,,,,
ButterflyName303,维多利亚鸟翼凤蝶,,,,,,,,,,,,,,,
ButterflyName304,极乐鸟翼凤蝶,,,,,,,,,,,,,,,
ButterflyName305,东方之珠蝶,,,,,,,,,,,,,,,
ButterflyName306,梦幻闪蝶,,,,,,,,,,,,,,,
ButterflyName307,塞浦路斯闪蝶,,,,,,,,,,,,,,,
ButterflyName308,88多涡蛱蝶,,,,,,,,,,,,,,,
ButterflyName309,蓝豹律蛱蝶,,,,,,,,,,,,,,,
ButterflyName310,猫头鹰蝶,,,,,,,,,,,,,,,
ButterflyName311,琉球紫蛱蝶,,,,,,,,,,,,,,,
ButterflyName312,玫瑰水晶眼蝶,,,,,,,,,,,,,,,
ButterflyName313,绿幻紫斑蛱蝶,,,,,,,,,,,,,,,
ButterflyName314,孔雀蛱蝶,,,,,,,,,,,,,,,
ButterflyName315,光明女神闪蝶,,,,,,,,,,,,,,,
ButterflyName316,非洲长翅凤蝶,,,,,,,,,,,,,,,
